0.00.log,0.50.log,1.00.log,1.50.log,2.00.log,2.50.log,3.00.log,3.50.log,4.00.log,4.50.log,5.00.log,5.50.log,6.00.log,6.50.log,7.00.log,7.50.log,8.00.log,8.50.log,9.00.log,9.50.log,10.00.log
16310048,16309996,16299784,16317241,16324258,16296770,16408690,16348067,16311931,16465499,16353515,16337643,16362742,16336106,16356714,16379800,16391883,16424307,16451370,16402440,16434363
16310681,16310790,16300484,16323615,16324861,16297686,16409856,16349630,16311971,16466034,16354649,16339101,16370182,16336760,16361703,16384690,16393407,16427216,16451868,16406898,16435592
16312566,16311116,16301281,16324128,16325596,16298502,16425861,16351563,16314273,16467503,16357527,16343565,16370392,16338205,16367168,16389109,16395102,16436075,16458254,16410252,16439970
16313619,16311806,16302276,16325245,16325632,16300396,16430716,16357091,16315304,16467827,16357554,16344169,16372207,16340300,16367686,16394547,16396530,16437658,16458431,16411351,16442110
16314254,16312389,16304344,16325536,16326161,16300702,16433275,16357129,16315670,16467910,16358422,16346596,16372286,16342833,16368286,16395157,16399016,16442806,16458867,16412286,16445137
16315325,16315100,16306726,16328752,16326268,16301978,16433831,16359459,16316446,16468394,16361387,16346722,16373064,16344130,16368873,16396500,16407468,16445186,16466850,16413297,16447221
16316788,16316584,16307731,16328993,16327447,16302782,16441318,16361329,16318508,16468450,16362300,16346849,16373178,16345748,16368897,16397829,16409441,16445481,16468069,16414343,16448637
16317688,16319200,16310124,16330045,16328053,16302972,16441553,16366140,16319558,16472045,16364862,16347750,16374335,16348353,16369292,16398804,16409514,16446781,16469882,16415367,16449917
16320731,16322269,16310388,16330126,16331889,16304578,16442328,16366689,16320107,16474824,16369786,16349648,16374732,16349721,16369925,16399208,16412600,16455788,16474359,16418702,16451169
16323275,16322373,16312151,16330681,16332282,16307246,16442632,16368752,16320386,16478831,16369864,16350199,16376650,16351386,16371464,16403574,16413045,16456309,16477462,16424791,16454965
16323912,16326071,16320512,16331639,16334592,16307257,16442661,16368896,16320401,16478966,16370980,16353266,16376732,16351500,16371527,16405242,16414175,16456489,16480239,16425954,16456168
16324037,16326104,16321310,16332064,16335504,16310107,16446313,16374996,16323082,16479221,16373359,16356189,16378246,16354200,16371535,16407121,16418595,16458259,16480697,16425992,16462921
16326379,16326614,16322350,16333486,16335900,16310367,16448357,16375818,16323324,16481288,16374224,16361967,16379827,16357075,16376401,16407843,16419050,16459025,16482743,16433899,16468064
16327482,16328664,16323924,16334435,16337471,16311774,16448498,16376333,16323830,16481853,16379480,16365854,16381221,16358960,16377890,16410386,16419530,16461171,16484994,16438544,16470030
16329487,16329925,16325022,16335453,16338463,16311970,16448809,16377604,16323842,16481947,16379499,16366398,16381493,16359027,16381224,16411093,16420327,16461519,16485599,16439098,16473109
16329871,16331219,16325181,16336334,16339697,16318098,16449341,16378594,16324398,16482138,16380111,16367612,16382739,16363305,16381966,16411789,16420445,16462461,16485730,16441083,16477538
16330548,16331774,16326496,16336495,16339902,16319591,16449729,16378727,16324425,16483639,16385988,16368551,16383150,16365430,16383768,16413435,16420802,16462524,16489754,16443957,16479634
16330871,16331795,16329221,16336540,16342749,16319851,16450407,16379229,16326358,16484149,16386848,16369148,16385536,16365776,16386135,16418244,16423857,16462676,16493268,16446545,16481536
16331150,16331986,16331066,16337116,16342799,16321731,16450523,16380954,16329254,16484246,16387019,16371915,16389079,16366344,16391014,16421294,16431202,16467645,16498496,16449005,16482391
16331688,16332300,16331239,16338314,16346899,16328191,16452358,16382344,16330263,16484591,16389508,16372503,16394371,16368138,16392351,16422884,16431381,16467678,16498744,16453599,16483920
16332069,16333027,16332994,16340787,16347105,16328266,16455168,16386053,16331421,16487079,16390822,16374456,16397087,16372359,16392384,16427085,16432854,16468511,16498859,16454523,16487374
16333024,16333482,16333473,16341921,16348187,16329552,16459304,16386453,16333886,16487898,16391484,16374586,16398115,16373190,16395888,16427818,16435151,16468520,16499328,16454761,16489999
16333651,16335584,16335739,16342066,16348798,16330415,16460156,16387343,16334520,16488973,16394040,16375229,16400763,16379962,16396416,16427940,16437166,16471000,16500645,16454886,16492384
16335525,16335602,16336089,16344634,16348910,16333137,16462889,16387926,16334798,16490846,16394201,16385177,16401469,16381289,16397303,16431145,16437872,16471047,16501009,16458448,16496619
16336504,16336567,16336666,16344726,16349033,16333661,16470036,16388708,16337486,16491063,16397737,16385515,16402512,16381737,16398575,16431704,16438224,16472545,16503823,16459625,16498678
16341742,16337051,16337231,16344730,16349352,16334673,16471089,16389306,16338527,16491673,16400528,16392607,16402759,16383072,16401764,16432483,16438831,16473260,16504079,16464061,16499319
16342098,16337775,16338672,16348271,16351656,16334923,16472052,16391862,16340336,16492500,16401747,16392732,16403544,16383609,16402079,16433066,16440452,16473931,16504216,16464541,16499939
