0.log,1.log,2.log,3.log,4.log,5.log,6.log,7.log,8.log,9.log,10.log,11.log,12.log,13.log,14.log,15.log,16.log,17.log,18.log,19.log,20.log,,,0.log,1.log,2.log,3.log,4.log,5.log,6.log,7.log,8.log,9.log,10.log,11.log,12.log,13.log,14.log,15.log,16.log,17.log,18.log,19.log,20.log
16569103,16668801,16845748,16759071,16990945,16670732,16945898,17029529,16840568,17070823,16959694,16925095,17861657,17132236,17250566,17837214,17223055,17335691,17911186,17845679,17907480,,,16569103,16668801,16845748,16759071,16990945,16670732,16945898,17029529,16840568,17070823,16959694,16925095,17861657,17132236,17250566,17837214,17223055,17335691,17911186,17845679,17907480
16573054,16673493,16848817,16783041,16996068,16671107,16950059,17031306,16859471,17084871,16961090,16926669,17866779,17154320,17285096,17847881,17236002,17411837,17913420,17848079,17910023,,,16573054,16673493,16848817,16783041,16996068,16671107,16950059,17031306,16859471,17084871,16961090,16926669,17866779,17154320,17285096,17847881,17236002,17411837,17913420,17848079,17910023
16575017,16675915,16848958,16791809,17007843,16672853,16956135,17033595,16860835,17087663,16967856,16927301,17867607,17155343,17308208,17847971,17283154,17463804,17914856,17863730,17912920,,,16575017,16675915,16848958,16791809,17007843,16672853,16956135,17033595,16860835,17087663,16967856,16927301,17867607,17155343,17308208,17847971,17283154,17463804,17914856,17863730,17912920
16576426,16677813,16849439,16801691,17011162,16684966,16961633,17045686,16861480,17111139,16978855,16929617,17868844,17172447,17320907,17848681,17296151,17685678,17914915,17863865,17913296,,,16576426,16677813,16849439,16801691,17011162,16684966,16961633,17045686,16861480,17111139,16978855,16929617,17868844,17172447,17320907,17848681,17296151,17685678,17914915,17863865,17913296
16576820,16685272,16851053,16809501,17013737,16698232,16973493,17071624,16862631,17126473,16995893,16932198,17872607,17180409,17339861,17858657,17422952,17774428,17915149,17865453,17915868,,,16576820,16685272,16851053,16809501,17013737,16698232,16973493,17071624,16862631,17126473,16995893,16932198,17872607,17180409,17339861,17858657,17422952,17774428,17915149,17865453,17915868
16582245,16687481,16852862,16817606,17016091,16702280,16976781,17103859,16864854,17158387,16998647,16936280,17872687,17181476,17684172,17861498,17458104,17778419,17916062,17869413,17920447,,,16582245,16687481,16852862,16817606,17016091,16702280,16976781,17103859,16864854,17158387,16998647,16936280,17872687,17181476,17684172,17861498,17458104,17778419,17916062,17869413,17920447
16589043,16691718,16858736,16820480,17016182,16740302,16983777,17159896,16866598,17194018,17005397,16938098,17875374,17188187,17800037,17875007,17652022,17793986,17917375,17873756,17921628,,,16589043,16691718,16858736,16820480,17016182,16740302,16983777,17159896,16866598,17194018,17005397,16938098,17875374,17188187,17800037,17875007,17652022,17793986,17917375,17873756,17921628
16589112,16696954,16861558,16827127,17061504,16748898,16984614,17184349,16880754,17202545,17008144,16939121,17878763,17191633,17820998,17875736,17690708,17807987,17917590,17875207,17925454,,,16589112,16696954,16861558,16827127,17061504,16748898,16984614,17184349,16880754,17202545,17008144,16939121,17878763,17191633,17820998,17875736,17690708,17807987,17917590,17875207,17925454
16589146,16708971,16863923,16829755,17067650,16757841,16991363,17194530,16889534,17203393,17018456,16958289,17880001,17199899,17825628,17880779,17738536,17814758,17918495,17877731,17925694,,,16589146,16708971,16863923,16829755,17067650,16757841,16991363,17194530,16889534,17203393,17018456,16958289,17880001,17199899,17825628,17880779,17738536,17814758,17918495,17877731,17925694
16589936,16711069,16867113,16830008,17095960,16767677,16997374,17205782,16890694,17226716,17019854,16959781,17882156,17222605,17831186,17883762,17768340,17816228,17920066,17877959,17931534,,,16589936,16711069,16867113,16830008,17095960,16767677,16997374,17205782,16890694,17226716,17019854,16959781,17882156,17222605,17831186,17883762,17768340,17816228,17920066,17877959,17931534
16591361,16752870,16867234,16836886,17096620,16801474,17020307,17211361,16896300,17236735,17020797,16962068,17882916,17241962,17835104,17887272,17795048,17827387,17921307,17880885,17932077,,,16591361,16752870,16867234,16836886,17096620,16801474,17020307,17211361,16896300,17236735,17020797,16962068,17882916,17241962,17835104,17887272,17795048,17827387,17921307,17880885,17932077
16592399,16754464,16873407,16844166,17097181,16832971,17030364,17212618,16896802,17237462,17024925,16964685,17882983,17283582,17847127,17889370,17803120,17843060,17921531,17882493,17948394,,,16592399,16754464,16873407,16844166,17097181,16832971,17030364,17212618,16896802,17237462,17024925,16964685,17882983,17283582,17847127,17889370,17803120,17843060,17921531,17882493,17948394
