0.00.log,0.50.log,1.00.log,1.50.log,2.00.log,2.50.log,3.00.log,3.50.log,4.00.log,4.50.log,5.00.log,5.50.log,6.00.log,6.50.log,7.00.log,7.50.log,8.00.log,8.50.log,9.00.log,9.50.log,10.00.log,avg,,0.00.log,0.50.log,1.00.log,1.50.log,2.00.log,2.50.log,3.00.log,3.50.log,4.00.log,4.50.log,5.00.log,5.50.log,6.00.log,6.50.log,7.00.log,7.50.log,8.00.log,8.50.log,9.00.log,9.50.log,10.00.log
23414788,23532577,22948118,23196647,23212490,23371382,23258967,23324024,23190697,23212556,23303918,23274687,23332478,23319939,23254566,23298813,23352213,23247610,23298661,23258849,23306706,23281461.24,,25867049,25840039,26381535,26237380,26294375,26901780,26700872,25668839,26595053,26746335,26730850,27344386,27114138,26821262,27082240,26932072,27377925,27143335,27202118,27222457,27318065
23434058,23545355,23033899,23218740,23246511,23410933,23284243,23332073,23194304,23218463,23305166,23278309,23334375,23320656,23260603,23301117,23356269,23254453,23314430,23275272,23314915,23296864,,25958909,25903203,26383293,26246019,26324648,27088946,26705310,26008290,26665959,26753667,26731320,27414627,27180861,26852974,27101017,26968143,27462157,27221095,27211647,27246703,27339703
23497738,23563694,23067002,23222281,23260308,23414479,23304730,23339879,23223836,23222838,23305482,23280725,23347170,23329123,23280586,23304022,23366270,23264841,23333115,23300759,23347716,23313171.14,,25967686,25939935,26384474,26265812,26360672,27095050,26714788,26272742,26705001,26838091,26739233,27438719,27193862,26855613,27144698,27106134,27556818,27226802,27292617,27334683,27382553
23498838,23574718,23098664,23260277,23261733,23427134,23309940,23346733,23227888,23247329,23308174,23293623,23359033,23341509,23296537,23304411,23366418,23283817,23358680,23306840,23349546,23324849.62,,25968599,25950977,26395910,26344985,26388752,27227644,26799335,26292705,26727296,26869222,26756651,27491649,27205003,26857892,27194755,27158921,27591560,27259619,27301529,27378531,27422834
23533292,23589537,23140616,23281316,23297080,23430741,23338555,23364420,23230265,23269508,23324985,23334894,23360704,23345657,23296964,23328915,23369479,23323945,23362312,23352887,23361160,23344630.1,,25988988,26178105,26396786,26379830,26404479,27262262,26848167,26364461,26763530,26903872,26762313,27535351,27212558,26910801,27233511,27197353,27597886,27338192,27369798,27506182,27450340
23560804,23594724,23141950,23310292,23335001,23436769,23340676,23374990,23231681,23285076,23351789,23341034,23388136,23348798,23306123,23342253,23383700,23332957,23368277,23372415,23372593,23358097.05,,26147995,26182866,26449944,26380842,26414175,27302337,26859868,26410949,26769972,26913360,26797683,27551397,27226851,26932378,27250414,27227737,27624469,27338675,27376521,27539372,27553524
23575958,23639711,23153279,23314444,23355535,23438163,23344192,23376118,23270333,23299884,23369063,23365983,23392522,23365076,23334005,23348686,23398976,23337828,23379242,23409928,23378466,23373685.33,,26273327,26286598,26450577,26442116,26436897,27673762,26861444,26421311,26843214,26979753,26870375,27676074,27275211,26942896,27421864,27308010,27665780,27386466,27382507,27551819,27554474
23577086,23664719,23159669,23320643,23370985,23441700,23355627,23404539,23304420,23313768,23370417,23369799,23397030,23382340,23335606,23352890,23409736,23348161,23405568,23415781,23383498,23384951.52,,26290523,26319873,26455894,26463029,26510097,27674217,26871821,26453426,26857703,27012879,26905654,27784162,27282478,26949011,27444073,27309340,27726969,27429865,27395785,27626253,27593488
23578142,23681721,23197467,23375467,23404867,23463240,23375453,23409512,23305532,23317728,23386737,23370488,23398590,23393362,23337095,23368403,23412982,23355070,23406488,23420743,23384731,23397324.67,,26316860,26349076,26458206,26517974,26535689,27811028,26890122,26479618,26869199,27018056,26932159,27805233,27286726,26955397,27508601,27472262,27769483,27448792,27566182,27668539,27658207
23607493,23686183,23202806,23383088,23420628,23469226,23376187,23413496,23310044,23318197,23388513,23376089,23401169,23400877,23344855,23372533,23413955,23363162,23410649,23426563,23385060,23403370.14,,26337352,26402329,26466846,26650317,26635274,27869480,27005545,26666922,26881555,27050296,26964039,27878142,27308324,27042916,27719024,27558771,27817001,27467828,27606905,27688539,27665585
