0.00.log,0.50.log,1.00.log,1.50.log,2.00.log,2.50.log,3.00.log,3.50.log,4.00.log,4.50.log,5.00.log,5.50.log,6.00.log,6.50.log,7.00.log,7.50.log,8.00.log,8.50.log,9.00.log,9.50.log,10.00.log
26631586,26959091,27274794,27315969,27302096,28032166,27898612,26928420,27843780,27959554,27772659,28108386,27977093,27839845,28152409,27883550,28117731,27889748,28014978,28139681,27982003
26733174,27036462,27400870,27443529,27336640,28046753,27910142,26934136,27891233,27969047,27834727,28112471,27993523,27875230,28153609,27892761,28125700,27891363,28029294,28175458,27989021
26833146,27062648,27423668,27503220,27414454,28053357,27932472,26973740,27905066,27975778,27837317,28122010,28008874,27877687,28201497,27893767,28127193,27915328,28056110,28179368,28010743
26905248,27072671,27464936,27504206,27628874,28056722,27938380,27028745,27923665,28009945,27839010,28122811,28015235,27909589,28208340,27911300,28128848,27932912,28087559,28189272,28078048
26909726,27072675,27492683,27632684,27747132,28059239,27949180,27474913,27927904,28043070,27848895,28139179,28018875,27946252,28216390,27929163,28134240,27936647,28095766,28210365,28083085
26913784,27084786,27532402,27665047,27801561,28063879,28006349,27555790,27948591,28053282,27852123,28142717,28027369,27995381,28238529,27934218,28135224,27947995,28149311,28223571,28083205
26959481,27099765,27691262,27739520,27802943,28095975,28072056,27581365,27962471,28072106,27876043,28145469,28028202,28000839,28245277,28006567,28148557,27980715,28158075,28227833,28128586
26965185,27331397,27820973,27790331,27874846,28104746,28072185,27620220,27991650,28110626,27888981,28175692,28030588,28010151,28247036,28012977,28167179,28008428,28166100,28238332,28149283
26985392,27464179,27846348,27800430,27996252,28123150,28100722,27677177,27995364,28119885,27898096,28192531,28037366,28026957,28249535,28038391,28169689,28025830,28196142,28247488,28166866
27129870,27509924,27878008,27808069,28018157,28129689,28108681,27706589,28019710,28120555,27899691,28203774,28039616,28035872,28266156,28043431,28171871,28061591,28210489,28255920,28178554
27299657,27517600,27894192,27859115,28022393,28135155,28133567,27762669,28049101,28130237,27908694,28220096,28078867,28059215,28289475,28043911,28179499,28080251,28210793,28260861,28180613
27299758,27563248,27932619,27869003,28030648,28138992,28137079,27782954,28050480,28139204,27930314,28225694,28090119,28059947,28290234,28044360,28183222,28080611,28218946,28268188,28200984
27362231,27637590,27934510,27938160,28034946,28140391,28151110,27813992,28050561,28149147,27931487,28227204,28153801,28064828,28297520,28054139,28184510,28089145,28220980,28270824,28210591
27448322,27661640,27955088,27953051,28036400,28149291,28154888,27839077,28063774,28152630,27945640,28227621,28156030,28077418,28308548,28064106,28190837,28089901,28240364,28272563,28215705
27492261,27699062,27956269,28017548,28058311,28167547,28160044,27858745,28065397,28167902,27951809,28230499,28164751,28116743,28311543,28065094,28212716,28093492,28242745,28296946,28222319
27513616,27742965,27973409,28032099,28064028,28168995,28168784,27895563,28068715,28177511,27980437,28242341,28171206,28129154,28317441,28081305,28231339,28117945,28247356,28307291,28253122
